hospital,hospital_website,url,status code,teamwork,teamstepps,team training,crew resource management,the,text-teamwork,text-teamstepps,text-team training,text-crew resource management
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/abrazo-central-campus/our-news/detail/2017/05/30/abrazo-central-campus-hosts-blood-drive-june-8,200,0,0,0,0,22,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/about-us/read-abrazo-news/detail/2017/05/25/abrazo-arrowhead-campus-earns-national-recognition-for-expertise-in-treating-patients-with-heart-attack-symptoms,200,0,0,0,0,42,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/hospital-abrazo-arrowhead-campus/our-news/detail/2016/11/14/three-abrazo-arrowhead-campus-volunteers-receive-president-s-lifetime-achievement-award,200,0,0,0,0,42,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/wound-care/find-a-physician,200,0,0,0,0,25,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://abrazo-checkin.inquicker.com/schedule/783?at=201707061645&schedule_id=783,200,0,0,0,0,14,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/search?indexCatalogue=abrazo-health/,200,0,0,0,0,6,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/clinical-translational-research-institute/current-enrolling-studies,200,0,0,0,0,20,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-stories/our-heart-and-vascular-stories/andrews-heart-story,200,0,0,0,0,32,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/emergency-trauma/cardiac-focused-emergency-department,200,0,0,0,0,22,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/connect-with-us/heart-to-heart/detail/heart-to-heart/2016/11/19/simple-steps-to-prevent-type-2-diabetes,200,0,0,0,0,15,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/connect-with-us/heart-to-heart/detail/heart-to-heart/2017/01/29/women-and-heart-disease-what-you-need-to-know,200,0,0,0,0,29,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://abrazo-checkin.inquicker.com/facility/abrazo-central-campus,200,0,0,0,0,4,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/for-health-professionals/abrazo-central-family-medicine-residency/people/detail/amanda-rapp-md-mba,200,0,0,0,0,25,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/abrazo-scottsdale-campus/our-news/detail/2016/11/22/abrazo-scottsdale-campus-collecting-blankets-for-homeless,200,0,0,0,0,25,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/brain-neuro/epilepsy/epilepsy-monitoring/tests-procedures,200,0,0,0,0,19,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/for-patients/pay-my-hospital-bill/abrazo-central-campus,200,0,0,0,0,28,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/orthopedics/back-spine,200,0,0,0,0,24,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-stories/our-stroke-stories,200,0,0,0,0,20,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/about-us/read-abrazo-news/detail/2017/05/30/nurse-honored-by-abrazo-scottsdale-campus-with-national-daisy-award,200,0,0,0,0,30,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-stories/our-women-s-health-stories/dawn-s-women-s-health-story,200,0,0,0,0,41,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/back-spine/diseases-conditions-3,200,0,0,0,0,15,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/abrazo-central-campus/our-news/detail/2017/05/13/four-abrazo-hospitals-earn-top-national-honors-for-stroke-care-treatment-from-american-stroke-association,200,0,0,0,0,34,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/for-patients/nondiscrimination-notice-and-language-assistance-services/abrazo-maryvale-campus,200,0,0,0,0,19,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/about-us/read-abrazo-news/detail/2017/05/23/abrazo-hospitals-host-cereal-drive-june-2-9,200,0,0,0,0,35,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/privacy-policy,200,0,0,0,0,91,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/login/im-a-patient,200,0,0,0,0,20,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://abrazo-checkin.inquicker.com/schedule/778?at=201707061730&schedule_id=778,200,0,0,0,0,14,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-stories/our-staff-and-volunteer-stories/abes-staff-story,200,0,0,0,0,56,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/abrazo-central-campus/our-services-specialties,200,0,0,0,0,32,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/find-a-physician,200,0,0,0,0,25,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/abrazo-arizona-heart-hospital/our-services-specialties/heart-murmur-clinic,200,0,0,0,0,27,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/for-health-professionals/abrazo-central-family-medicine-residency/people/detail/jacob-woods-do,200,0,0,0,0,21,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/our-news/detail/2017/06/05/abrazo-community-health-network-s-six-hospitals-are-hosting-job-fairs-on-june-14,200,0,0,0,0,20,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/for-patients/classes-events,200,0,0,0,0,15,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/connect-with-us/heart-to-heart/detail/heart-to-heart/2016/11/16/national-diabetes-month-a-time-to-shed-light-on-a-growing-disease,200,0,0,0,0,16,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://abrazo-checkin.inquicker.com/schedule/777?at=201707061730&schedule_id=777,200,0,0,0,0,14,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/our-locations-detail/medpost-urgent-care---scottsdale,1,0,0,0,0,0,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/about-us/connect-with-us,200,0,0,0,0,22,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/connect-with-us/heart-to-heart/detail/heart-to-heart/2016/12/15/get-heart-smart-test-your-knowledge-about-the-body-s-most-important-muscle,200,0,0,0,0,28,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/brain-neuro/epilepsy/brain-neuro-rehab,200,0,0,0,0,16,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/back-spine/spinal-treatment/health-library-2,200,0,0,0,0,15,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/heart/open-heart-surgery,200,0,0,0,0,35,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/for-patients/i-am-a-scheduled-or-current-patient/what-to-expect,200,0,0,0,0,39,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://abrazo-checkin.inquicker.com/schedule/782?at=201707061645&schedule_id=782,200,0,0,0,0,14,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://abrazo-checkin.inquicker.com/schedule/781?at=201707061630&schedule_id=781,200,0,0,0,0,14,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.zocdoc.com/hospitals/abrazohealth?promo=home,200,0,0,0,0,47,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/brain-neuro/spinal-surgery,200,0,0,0,0,32,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/our-news/detail/2016/08/25/abrazo-maryvale-campus-employees-donate-6-000-bottles-of-water-to-help-the-homeless,200,0,0,0,0,26,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://abrazo-checkin.inquicker.com/schedule/776?at=201707061630&schedule_id=776,200,0,0,0,0,14,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-stories/our-stroke-stories/andrea-g's-stroke-story,200,0,0,0,0,36,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/our-news/detail/2016/07/15/abrazo-maryvale-campus-abrazo-medical-group-help-homeless-shelter-phoenix-firefighters-collect-water-bottle-donations-throughout-july,200,0,0,0,0,31,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/bariatric-wellness-institute/frequently-asked-questions,200,0,0,0,0,18,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/connect-with-us/heart-to-heart/detail/heart-to-heart/2017/01/31/on-feb.-3-make-plans-to-go-red-abrazo-to-offer-free-screenings-information-on-national-go-red-for-women-day,200,0,0,0,0,23,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/heart/structural-heart-disease-institute,200,0,0,0,0,30,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/bariatric-wellness-institute/is-weight-loss-surgery-for-me,200,0,0,0,0,20,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/abrazo-arizona-heart-hospital/our-services-specialties/peripheral-vascular-disease-institute,200,0,0,0,0,30,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/find-a-physician,200,0,0,0,0,25,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/hospital-abrazo-arrowhead-campus/our-news/detail/2016/12/16/abrazo-arrowhead-campus-presents-free-hip-pain-seminar-jan.-19,200,0,0,0,0,21,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://abrazo-checkin.inquicker.com/schedule/778?at=201707061645&schedule_id=778,200,0,0,0,0,14,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/connect-with-us,200,0,0,0,0,22,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/abrazo-arizona-heart-hospital,200,0,0,0,0,23,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/for-family-visitors/visitor-hours,200,0,0,0,0,21,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/bariatric-wellness-institute/nutritional-counseling,200,0,0,0,0,16,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/about-us/read-abrazo-news/detail/2017/06/14/abrazo-arrowhead-campus-volunteer-receives-president-s-lifetime-achievement-award,200,0,0,0,0,36,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-stories/our-heart-and-vascular-stories/rays-heart-story,200,0,0,0,0,30,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/brain-neuro/epilepsy/epilepsy-monitoring/epilepsy,200,0,0,0,0,27,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/brain-neuro/find-a-location,200,0,0,0,0,15,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/for-patients/patient-portal,200,0,0,0,0,20,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/heart/cardiac-rehab,200,0,0,0,0,18,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/orthopedics/shoulder-elbow,200,0,0,0,0,17,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/for-patients/is-abrazo-right-for-me/signup-for-our-newsletter,200,0,0,0,0,17,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/orthopedics/find-a-location,1,0,0,0,0,0,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/abrazo-central-campus/our-news/detail/2017/03/16/abrazo-central-campus-offers-free-seminar-about-knee-replacement-surgery-on-march-28,200,0,0,0,0,21,,,,
